ContactID,StartTime,EndTime,Duration
16363539,01:23.4,01:24.8,00:01.4
16363539,05:29.2,05:31.3,00:02.1
16363547,01:18.2,01:19.7,00:01.5
16363547,01:27.5,01:28.7,00:01.2
16363550,05:31.4,05:33.1,00:01.7
16363551,02:35.5,02:36.9,00:01.4
16363551,03:10.1,03:11.2,00:01.1
16363553,04:09.7,04:11.1,00:01.4
16363559,06:56.7,06:57.8,00:01.1
16363561,06:34.7,06:35.7,0:00:01
16363562,02:55.2,02:56.5,00:01.3
16363566,06:19.7,06:21.4,00:01.7
16363566,06:43.8,06:45.2,00:01.4
16363566,08:06.9,0:08:08,00:01.1
16363568,00:59.1,01:00.1,0:00:01
16363568,01:04.3,01:05.3,0:00:01
16363569,02:55.8,02:56.8,0:00:01
16363571,06:04.2,06:05.3,00:01.1
16363572,00:36.8,00:37.8,0:00:01
16363572,02:41.1,02:42.8,00:01.7
16363572,03:25.6,03:26.8,00:01.2
16363573,01:49.3,01:50.4,00:01.1
16363574,00:49.3,00:50.3,0:00:01
16363574,01:17.2,01:18.4,00:01.2
16363574,01:24.4,01:25.5,00:01.1
16363574,03:58.6,03:59.9,00:01.3
16363574,07:06.8,07:08.4,00:01.6
16363575,05:35.7,05:36.7,0:00:01
16363575,05:46.8,05:47.9,00:01.1
16363575,0:06:00,0:06:01,0:00:01
16363581,00:44.8,00:46.6,00:01.8
16363583,03:13.2,03:14.2,0:00:01
16363583,0:04:27,0:04:28,0:00:01
16363583,09:16.7,09:18.1,00:01.4
16363584,01:42.9,01:44.5,00:01.6
16363585,01:05.8,0:01:07,00:01.2
16363585,01:11.4,01:12.4,0:00:01
16363585,01:42.4,01:43.8,00:01.4
16363585,02:09.9,02:11.3,00:01.4
16363586,01:44.5,01:45.5,0:00:01
16363586,04:30.2,04:31.6,00:01.4
16363586,04:48.4,04:49.7,00:01.3
16363588,00:23.8,0:00:25,00:01.2
16363588,03:27.5,03:29.4,00:01.9
16363588,04:37.1,04:38.4,00:01.3
16363588,06:35.8,06:37.5,00:01.7
16363588,06:58.5,06:59.8,00:01.3
16363588,0:09:01,0:09:02,0:00:01
16363588,11:47.6,11:49.7,00:02.1
16363588,12:00.8,12:02.1,00:01.3
16363588,12:04.4,12:05.6,00:01.2
16363588,0:15:13,15:14.1,00:01.1
16363588,15:21.3,0:15:23,00:01.7
16363588,15:25.9,15:26.9,0:00:01
16363589,00:09.6,00:11.2,00:01.6
16363589,05:43.2,05:44.3,00:01.1
16363589,0:06:12,06:13.2,00:01.2
16363590,09:40.8,09:41.8,0:00:01
16363596,01:03.4,01:04.8,00:01.4
16363596,01:06.9,01:08.2,00:01.3
16363596,01:18.9,0:01:20,00:01.1
16363596,01:26.7,01:27.9,00:01.2
16363596,0:01:29,01:30.3,00:01.3
16363596,0:02:11,02:13.3,00:02.3
16363596,0:02:32,02:33.2,00:01.2
16363596,06:24.7,06:25.7,0:00:01
16363596,0:06:36,06:37.2,00:01.2
16363596,06:56.9,06:58.1,00:01.2
16363596,07:15.9,07:16.9,0:00:01
16363596,07:40.4,07:41.7,00:01.3
16363596,09:00.6,09:01.9,00:01.3
16363596,09:25.3,09:26.3,0:00:01
16363596,09:27.5,09:29.1,00:01.6
16363596,09:29.9,09:31.1,00:01.2
16363598,04:44.6,04:45.8,00:01.2
16363600,01:43.2,01:44.5,00:01.3
16363609,07:25.2,07:26.2,0:00:01
16363609,13:37.4,13:38.6,00:01.2
16363616,06:34.5,0:06:36,00:01.5
16363616,13:27.2,13:28.2,0:00:01
16363618,00:36.1,00:37.2,00:01.1
16363618,0:01:33,0:01:34,0:00:01
16363618,14:40.3,14:41.3,0:00:01
16363618,0:15:27,15:28.3,00:01.3
16363620,03:21.3,03:22.3,0:00:01
16363620,14:45.1,14:46.1,0:00:01
16363620,14:50.1,14:51.1,0:00:01
16363627,01:55.3,01:56.3,0:00:01
16363627,04:17.8,04:18.9,00:01.1
16363629,00:29.1,00:30.2,00:01.1
16363629,01:40.3,01:41.3,0:00:01
16363629,04:28.4,04:29.6,00:01.2
16363630,02:32.2,02:33.3,00:01.1
16363635,02:09.8,02:11.6,00:01.8
16363635,02:21.5,02:22.7,00:01.2
16363635,04:44.5,04:45.5,0:00:01
16363635,0:07:31,07:32.7,00:01.7
16363635,07:57.5,07:58.5,0:00:01
16363636,02:13.1,02:14.3,00:01.2
16363636,0:02:17,0:02:18,0:00:01
16363636,02:47.4,02:48.5,00:01.1
16363636,08:39.4,08:40.4,0:00:01
16363638,06:29.1,06:30.4,00:01.3
16363642,02:07.1,02:08.8,00:01.7
16363647,01:27.6,01:28.6,0:00:01
16363647,01:49.9,01:51.1,00:01.2
16363647,02:33.1,02:34.8,00:01.7
16363648,04:34.1,04:35.9,00:01.8
16363648,12:12.6,12:13.7,00:01.1
