ContactID,StartTime,EndTime,Duration
16363534,0:00:00,00:03.6,00:03.6
16363534,00:38.2,00:41.3,00:03.1
16363534,00:47.5,00:50.5,0:00:03
16363534,00:55.7,01:01.2,00:05.5
16363534,0:02:13,02:16.4,00:03.4
16363535,01:08.4,01:14.2,00:05.8
16363536,00:35.4,00:41.7,00:06.3
16363536,0:00:50,00:56.1,00:06.1
16363536,01:48.2,01:56.6,00:08.4
16363537,01:47.6,01:53.8,00:06.2
16363539,06:44.3,06:47.7,00:03.4
16363539,06:47.9,06:54.1,00:06.2
16363541,00:59.7,01:05.7,0:00:06
16363543,0:00:00,00:04.9,00:04.9
16363543,00:37.7,00:41.3,00:03.6
16363543,01:08.7,01:12.4,00:03.7
16363547,0:00:00,00:04.6,00:04.6
16363547,0:02:07,02:10.7,00:03.7
16363547,02:51.8,03:01.1,00:09.3
16363547,03:01.3,03:05.5,00:04.2
16363547,04:04.7,04:08.9,00:04.2
16363547,04:09.1,04:22.8,00:13.7
16363550,0:00:00,00:05.1,00:05.1
16363550,00:49.1,00:52.4,00:03.3
16363550,01:49.4,01:53.1,00:03.7
16363550,01:59.5,02:02.7,00:03.2
16363550,02:17.1,02:21.2,00:04.1
16363550,02:29.8,02:32.9,00:03.1
16363550,02:40.3,02:43.3,0:00:03
16363550,03:34.2,03:37.7,00:03.5
16363550,03:39.8,03:45.6,00:05.8
16363550,03:45.8,03:49.2,00:03.4
16363550,03:49.4,04:01.4,0:00:12
16363551,00:32.3,00:36.3,0:00:04
16363551,0:01:17,01:25.3,00:08.3
16363551,01:29.9,01:34.5,00:04.6
16363551,01:35.3,01:45.6,00:10.3
16363551,02:41.7,02:45.7,0:00:04
16363551,02:48.3,02:57.3,0:00:09
16363551,03:13.9,03:18.7,00:04.8
16363553,0:00:00,00:06.2,00:06.2
16363553,00:44.7,00:48.1,00:03.4
16363553,02:21.4,02:24.6,00:03.2
16363553,02:36.1,02:39.3,00:03.2
16363553,03:30.2,0:03:36,00:05.8
16363553,04:05.3,04:09.6,00:04.3
16363553,04:32.2,04:55.1,00:22.9
16363553,06:08.9,06:20.2,00:11.3
16363559,0:00:00,00:07.5,00:07.5
16363559,0:00:43,00:46.1,00:03.1
16363559,01:53.9,01:56.9,0:00:03
16363559,02:13.6,02:16.8,00:03.2
16363559,02:37.4,02:42.3,00:04.9
16363561,0:05:52,0:05:56,0:00:04
16363562,01:07.3,01:12.6,00:05.3
16363562,01:27.1,01:33.1,0:00:06
16363562,01:46.8,02:07.5,00:20.7
16363562,02:14.1,02:20.1,0:00:06
16363562,0:03:53,03:56.1,00:03.1
16363563,0:00:00,00:02.9,00:02.9
16363564,00:52.2,01:01.8,00:09.6
16363566,01:35.4,01:40.2,00:04.8
16363566,04:28.8,04:31.8,0:00:03
16363566,05:14.5,05:21.9,00:07.4
16363566,05:26.1,05:40.1,0:00:14
16363568,0:00:00,00:02.9,00:02.9
16363568,0:02:08,02:13.6,00:05.6
16363568,03:41.9,03:46.5,00:04.6
16363568,03:46.7,03:54.1,00:07.4
16363568,05:18.2,05:21.5,00:03.3
16363569,0:00:00,00:06.5,00:06.5
16363569,01:33.8,01:44.3,00:10.5
16363569,03:35.4,03:40.3,00:04.9
16363571,0:00:00,00:03.9,00:03.9
16363571,00:34.2,00:43.3,00:09.1
16363571,00:54.4,00:57.7,00:03.3
16363571,01:01.5,01:04.8,00:03.3
16363571,01:06.9,01:25.5,00:18.6
16363571,02:40.3,02:43.7,00:03.4
16363571,03:15.9,03:19.6,00:03.7
16363571,04:52.8,04:55.8,0:00:03
16363571,05:03.3,05:08.1,00:04.8
16363571,05:46.9,05:50.1,00:03.2
16363571,06:24.7,06:29.8,00:05.1
